"","Mov10_kd_2","Mov10_kd_3","Mov10_oe_1","Mov10_oe_2","Mov10_oe_3","Irrel_kd_1","Irrel_kd_2","Irrel_kd_3"
"ABI1",10.7347208958816,10.6918221314944,10.5298670140927,10.5159075964254,10.5710145313387,10.5446998023407,10.530106604776,10.4366892113848
"ABI2",11.8373333766976,11.8892909956378,11.9658957027502,11.9488161611347,11.9879219746671,12.0103683741947,12.0227365098702,12.0259018681738
"ABI3",1.28762691448731,1.24528122575162,1.2677229911094,1.27769427695941,1.27196656714807,1.26099477228849,1.25454034683967,1.2690677505985
"ABI3BP",5.17571267791543,5.21072830082791,5.35222375129862,5.39610733546518,5.52417027598315,5.25262947708084,5.18942374204308,5.27702214681686
"ABL1",11.5359879735903,11.497024010098,11.3368106999084,11.3599682680443,11.3186798141009,11.4440624098235,11.4687441818434,11.4619397401963
"ABL2",10.5882145555837,10.6480048516832,11.0346900193684,10.922928401192,11.012125303143,10.546158875125,10.6002423662053,10.6101240737045
"ABLIM1",11.3031465766466,11.3380136030572,11.3525692517839,11.3200069981537,11.3669899110902,11.536061288028,11.5116306041216,11.5231116627323
"ABLIM2",5.35099146495489,5.35646631441315,5.47424649316218,5.48135233286257,5.33645473877244,5.37929791409694,5.35610928230509,5.34147277776686
"ABLIM3",6.35778948974634,6.38821208046522,6.69233863683101,6.78390608786871,6.59806335136168,6.45161714521946,6.50081209812507,6.52882133097219
"ABO",0.76412228497395,0.779096536744955,0.766705717504505,0.775954281557677,0.761631771695371,0.792713614803318,0.778580546632417,0.783260666956085
"ABP1",0.429320006857591,0.417684040607171,0.44127178645478,0.425651425685315,0.431508490482511,0.416973507813106,0.436748254587416,0.441193749823848
"ABR",10.9752714801727,10.9605420050427,10.8332551139616,10.8137353132221,10.7525627071021,10.9736588465251,10.931073872731,11.010993375769
"ABT1",11.0687200596561,11.034202989543,10.7651800328513,10.7900080953264,10.6596429013823,10.9291928995113,10.9094351646687,10.8852333400446
"ABTB1",7.17244805347846,7.1617423206143,7.39241519722653,7.39717326512455,7.42940306817098,7.29968943981062,7.35945383433372,7.26071175545811
"ABTB2",9.55090083702191,9.53311586485871,9.38981933329013,9.39087637604972,9.27269615344201,9.35522307096299,9.32785765586448,9.38170747668471
"ACAA1",9.67219517163522,9.73946205612113,9.65588566153055,9.74353164612041,9.57907767688623,9.78520142980794,9.70897524443157,9.79778588767756
"ACAA2",9.72127848182451,9.74828166303898,9.72416507011133,9.78145748397467,9.80616559995906,9.82171801488312,9.79854983088016,9.79591254916395
"ACACA",12.0354349708297,11.9695659482739,11.9053817089083,11.8524384097783,11.8729729391466,11.8616933723721,11.9168269361947,11.9059655699891
"ACACB",8.93641750367535,8.86084116710935,8.87379560654686,8.89287087865457,8.78831896000335,8.91473355398307,8.89847396027671,8.90332120225023
"ACAD10",9.09036471907766,9.06175897012059,8.96683340281041,9.00569575601624,8.91682959831424,8.7971355767399,8.78002341922934,8.81784513583614
"ACAD11",6.57700289731717,6.51032303758889,6.62004365094738,6.7362685981565,6.62446464897423,6.49039500156961,6.59797280786301,6.58587292326288
"ACAD8",9.34702417726633,9.30567536046322,9.19938024192234,9.20452375777779,9.18573461677927,9.23305765779572,9.20873459088475,9.26429146391509
"ACAD9",10.8233845386806,10.8191764950117,10.6280958606219,10.6380341287267,10.6543361957015,10.8217867391282,10.7878169305962,10.799157941306
"ACADL",6.73331300498863,6.68798957810906,6.68859738482265,6.632395779852,6.70940598484211,6.84162283523583,6.84756763815405,6.77865555863333
"ACADM",11.120062293359,11.1334305304388,11.0170627009605,10.9803231003563,11.0784685103349,10.951699062495,10.9940881010755,10.9456373211215
"ACADS",7.42844707076162,7.60303245944325,7.72705699217161,7.74815868168266,7.69703077789634,7.58931601995105,7.54350096921861,7.61081648717602
"ACADSB",10.3174545871006,10.3375213858534,10.0889889962966,10.0892696110074,10.1427803568305,10.2500154127673,10.2802804818732,10.2314260413944
"ACADVL",10.2147508831256,10.3437772063414,10.5005714294499,10.5966111262126,10.5814530023496,10.1413515782006,10.1026365939217,10.260375950439
"ACAN",4.23110891592565,4.20032843699136,4.38157177659144,4.3122725177246,4.3749913830489,4.17246055705111,4.2141273500955,4.18588976831125
"ACAP1",2.4194892243934,2.41592899101725,2.4467883668993,2.45092553397091,2.45229543631334,2.46675734711334,2.40562529296743,2.42389430401071
"ACAP2",10.9279696437414,10.9005848932544,10.8763918178391,10.825147700544,10.9528060607369,10.8857153452313,10.9309813227779,10.8499772124258
"ACAP3",9.98693682829977,10.0272565798249,9.95936554586691,9.98407187972871,9.92967221133668,9.86377091079736,9.87370209547758,9.99325782709557
"ACAT1",11.1227607636997,11.1637935991681,11.2060685185408,11.1582175506985,11.1823409995943,11.1940448714885,11.1847120776321,11.1914984890337
"ACAT2",11.2929774116698,11.2775852148179,11.296518503163,11.3071077716273,11.2568140832976,11.3180435551261,11.2759312958951,11.2690358603056
"ACBD3",11.7937188470575,11.7664859585654,11.7270011144251,11.7148796514488,11.8219829070477,11.7119250422693,11.7347121232184,11.6844648047326
"ACBD4",8.52522636486148,8.6289908184189,8.91825529405788,8.94964255863678,8.76274059868818,8.78165484815026,8.75600542056767,8.81199229005322
"ACBD5",10.4757395381455,10.4489906404656,10.4072145790168,10.3912801387572,10.4580831238311,10.5318925605944,10.5532589365557,10.547063557167
"ACBD6",10.0415518099461,10.0633246314988,10.1085027564724,10.1379912140116,10.1714814256632,10.17849709965,10.1708592285867,10.1348949523017
"ACBD7",8.86775013719243,8.92607038436106,8.80830457392801,8.82172497158148,8.84922209557007,9.07632743508433,9.00481100341661,8.97373323562339
"ACCN1",-0.385431756364607,-0.381273807735027,-0.391751803856457,-0.382842006976404,-0.390308174844197,-0.391604979460679,-0.381531146344168,-0.367860546690015
"ACCN2",9.48838257260764,9.60482957349389,9.90506104272099,10.0269782195096,9.87974510901145,9.54763450699691,9.57516215573956,9.60225707976673
"ACCN3",6.11722174644632,6.25510681849105,6.22285606479631,6.40502228508184,6.22307369505811,6.13866695492146,6.1726809848731,6.23578003516217
"ACCN4",4.46998681296155,4.43597528012958,4.2339381555867,4.28656619506485,4.16608539838673,4.24930417333186,4.32489529318021,4.31139007219217
"ACCS",6.67461787284453,6.63629800232534,6.99728960921633,6.89632499481015,6.98062537763151,6.8236944269987,6.9033332966755,6.91903239645254
"ACCSL",-1.34279709462324,-1.33400174748547,-1.33493823358675,-1.34214898489237,-1.34013439607326,-1.34215501679756,-1.33410958043352,-1.34063781599451
"ACD",8.57631298772447,8.60870523425202,8.61873525183486,8.7156972158092,8.4971310380393,8.79351822446274,8.74075677487741,8.74392315129038
"ACE",7.025115255271,7.05228519221141,7.48507629524833,7.4532763042171,7.35682210726337,7.14135168577687,7.02071758058331,7.01162377645257
"ACE2",4.71517146056413,4.69320729041517,4.75464401352652,4.76377782183243,4.71934328729343,4.75055596221654,4.68048273683014,4.69687168914992
"ACER1",-0.777385015247953,-0.789762826288779,-0.790160240681527,-0.781586464374693,-0.788214718725192,-0.790056259600313,-0.780392481909863,-0.778739346727275
"ACER2",6.33364892751159,6.30244440779889,6.48450991831615,6.44067367951361,6.45017337248754,6.27581433791719,6.3349538327145,6.33197457429656
"ACER3",9.67451819565439,9.68304308768802,9.68679777764708,9.6702146490802,9.75758151788641,9.67842632219641,9.72911519296938,9.63331375275035
"ACHE",6.35039471130023,6.3308138211069,6.70892646934245,6.67183432889043,6.58396182639884,6.08732616672135,6.13291495903014,6.16663218142009
"ACIN1",12.9177719986249,12.8572796131206,12.6172739581807,12.5744900820975,12.5127582856601,12.6725107565417,12.6591029670465,12.707279442107
"ACLY",13.8240410395101,13.8182284633989,13.666476145731,13.6611577890322,13.6127996355446,13.7604028759035,13.7258527421948,13.7609243457666
"ACN9",9.40033402409694,9.3191797505272,9.36106940161549,9.37767572628353,9.39022117011807,9.27883634205265,9.2871840815338,9.21141354133956
"ACO1",9.65247595595812,9.62320458178471,9.62741557050785,9.578472635756,9.62427704454802,9.74982482280297,9.78049808312464,9.70886182932448
"ACO2",11.0914674679886,11.0642715300367,10.8486843679263,10.9005248001819,10.7942040953536,10.9696878042394,10.9632451966586,10.9488343782778
"ACOT1",5.75954238466102,5.73402964043755,5.70502423030792,5.74367183291158,5.7049790991738,5.7641480350182,5.63546498163448,5.68343552203254
"ACOT11",6.18646453397501,6.12807166264611,6.14408473864878,6.28580238823964,6.12491444261279,6.19850958220678,6.26499576739026,6.27768907272797
"ACOT12",0.898592075584406,0.874738577162469,0.905498475991124,0.890779788391197,0.900885049127817,0.88230900462251,0.902754470607626,0.87597979593873
"ACOT13",9.97828863521915,9.94162053520988,9.94159672777979,9.97756314205913,9.97888662616969,9.92595402951217,9.90402417146407,9.94119882337476
"ACOT2",8.30832767572644,8.28778366398701,8.1839319273864,8.27143277805117,8.09988669242592,8.20534851897482,8.16871515679807,8.24680553022348
"ACOT4",-0.332506751666716,-0.334981583666006,-0.337061147299761,-0.344907460504775,-0.34366941044067,-0.336517172373993,-0.325967507332999,-0.343998065460265
"ACOT6",-0.54654712331885,-0.54548873253832,-0.546032954724958,-0.527737948245728,-0.532173406644105,-0.545889978828155,-0.545553895986435,-0.521375628995096
"ACOT7",10.4203721389364,10.3953938635893,10.4176534887285,10.4419912365152,10.3069110778442,10.6333919971443,10.6169078912898,10.6028454896704
"ACOT8",8.5410157493726,8.52650527394325,8.55545726478557,8.65338067201034,8.50436444410647,8.6006633203235,8.5904093653711,8.54736358119763
"ACOT9",9.09959243907576,9.17544604237879,9.34663989516072,9.34184052970448,9.34345308800191,9.25083258010109,9.26592068912066,9.27322580826874
"ACOX1",10.6264856067526,10.5935827514625,10.5331351581108,10.5129071087427,10.5941170813264,10.6129342615147,10.6767486177936,10.6202747498142
"ACOX2",3.42476293725922,3.47938746281899,3.48758587424159,3.53982263095234,3.54581878360975,3.46346819562577,3.46803659760823,3.45882282600498
"ACOX3",8.10595578158032,8.02681227663997,8.01885679062086,8.03154982932034,7.96603405581688,8.10330992073981,8.07918262169746,7.99202861374084
"ACOXL",6.17550637157996,6.19450051512387,6.46628676476093,6.51452055830331,6.46885373298133,6.59884853734395,6.65938875879102,6.66418882103387
"ACP1",11.6220811615272,11.5881986490423,11.5390008517736,11.5258510909435,11.5846645841721,11.6304790394508,11.6079273580776,11.6205180777423
"ACP2",9.40838304160277,9.34352629063575,9.20274639977533,9.20184130457362,9.18117795320896,9.48838326892851,9.39454153785618,9.43312535230793
"ACP5",1.66068879671136,1.66075445719099,1.64589882790333,1.67249049620508,1.64747411199892,1.65573551719182,1.650553084194,1.68908630823051
"ACP6",9.11338456474177,9.19087804177132,9.16950948031718,9.21954874926873,9.15058016043208,9.10179060665305,9.12110669029331,9.08668724392586
"ACPL2",9.28010023963422,9.32950831477878,9.45482235669241,9.53233136605205,9.53100608280081,9.50614915711311,9.47610407302739,9.51639000449374
"ACPP",6.27141286429641,6.24102711798703,6.56822886904777,6.40286415558938,6.52163584420123,6.53146097750719,6.49154305837535,6.49507419934901
"ACPT",-0.961772898573761,-0.960941668194034,-0.961428833342144,-0.96133037076682,-0.959226636421313,-0.944147376877712,-0.95150915211291,-0.950300847257791
"ACR",0.834913026215246,0.820538459408211,0.817744734068057,0.835416977199488,0.824960369361312,0.826963794444804,0.820202703123243,0.83436013809381
"ACRBP",3.35512440472928,3.36394720873315,3.27035508987307,3.31408749184448,3.29461929058277,3.3060842698768,3.33538989800275,3.34928888605566
"ACRC",7.0538825186186,6.90414140410588,6.49111678544169,6.56529198763675,6.49344458927457,6.49097648363509,6.50735308630437,6.53157221790775
"ACRV1",-0.0886291792519303,-0.0672553341200995,-0.0879609854440815,-0.0877702612063756,-0.0735834781101925,-0.0789079706600937,-0.0677202657143035,-0.0749836075485449
"ACSBG1",4.55060957196229,4.43198138718565,4.21414363572802,4.2445326235631,4.24079493441744,4.28886371868649,4.28004931910756,4.18557049845732
"ACSBG2",0.000561962875096447,0.00808375062634624,-0.0124199814774302,0.00524815468397486,0.0141954941067797,-0.0122283272101587,-0.0117766919621801,-0.0109818600640082
"ACSF2",8.32810413416741,8.40804986680988,8.72340223038004,8.81694486207276,8.68163197848505,8.39273673201734,8.41541717862437,8.38865108440616
"ACSF3",8.57372777112409,8.60688703577992,8.42043519211132,8.41009913446451,8.42339340806409,8.49688838884726,8.48678379826839,8.5162561445729
"ACSL1",10.4532428623006,10.4886721475407,10.5412775014764,10.5273367836238,10.5966595738892,10.50495042561,10.5504339505411,10.5360984077028
"ACSL3",11.4155306135939,11.4612082419932,11.6575287749414,11.6519653073389,11.7790615963033,11.6984230494961,11.718687379722,11.7196219792169
"ACSL4",11.9055490392211,11.9862384670984,12.295413946087,12.2757911753418,12.410190533623,11.9885814712367,12.0096814110397,11.9524965166496
"ACSL5",3.50408372328741,3.35005709048926,3.28112871599395,3.25219902019935,3.2977825007866,3.33276457759245,3.27652451628508,3.32180543827192
"ACSL6",7.2625233736697,7.38238502767592,7.62130047329988,7.53576055770828,7.62358152693118,7.31465550670437,7.34096989911401,7.30964114238575
"ACSM1",-0.265760388438008,-0.261618147529374,-0.271877337221441,-0.254717992614889,-0.270381015067424,-0.254741146661549,-0.271368075426648,-0.25954095986907
"ACSM3",5.8980147378373,5.98201874993573,6.07317724728909,6.04497554389415,6.03842247843669,5.93716149613705,5.96027016082177,6.05461730788064
"ACSM5",-1.38795643399209,-1.39225376313741,-1.38673106454969,-1.39282480210133,-1.39112229219386,-1.38651578549564,-1.39234489173927,-1.39154772759558
"ACSS1",8.5527583270957,8.63167984714685,8.74151975996441,8.792091776292,8.71823858447703,8.56239124270023,8.53900177312845,8.60269515399999
