gene_id	Sample_116498	Sample_116499	Sample_116500	Sample_116501	Sample_116502	Sample_116503	Sample_116504	Sample_116505	Sample_116506	Sample_116507	Sample_116508	Sample_116509
ENSMUSG00000001168	0	0	0	0	0	0	2	1	2	0	0	0
ENSMUSG00000001173	679	559	626	470	473	629	481	569	438	267	454	449
ENSMUSG00000001175	25103	20074	23047	18178	22335	28830	26358	19620	20996	31222	24095	20037
ENSMUSG00000001211	10669	9115	9188	7232	8272	10408	11303	8053	9052	8512	9404	7737
ENSMUSG00000001225	1	2	1	1	0	1	5	0	4	0	0	0
ENSMUSG00000001227	29	23	17	26	34	48	59	91	135	47	109	163
ENSMUSG00000001228	1087.64	1139.85	1041.25	1274	1713.17	2157.38	14839.15	12979.18	15454.04	15030.62	16980.59	14231
ENSMUSG00000001229	5345	4395	4206	3475	4160	5109	5569	4111	4775	4214	5150	4301
ENSMUSG00000001240	0	0	2	1	4	0	6	1	7	5	12	5
ENSMUSG00000001247	153.67	130.14	100.47	208.69	197.58	228.42	144.67	152.64	152.73	227.13	236.89	184.73
ENSMUSG00000001248	24431.17	16861.93	21773.51	9912.07	15348.7	21503.24	14736.93	11069.07	11280.85	7314.66	10912.96	8029.12
ENSMUSG00000001249	19	18	19	34	47	42	61	172	204	15	79	194
ENSMUSG00000001260	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001270	588.84	656.8	692	660.87	898.75	1103	331.92	296.92	249.9	256	197.83	221
ENSMUSG00000001280	16066	13360	13481	9213	11733	13768	12380.99	10761	10452	9043	10551	9643
ENSMUSG00000001281	41127	34210	35672	30462	33616	39096	36182	23771	23879	31666	26922	22596
ENSMUSG00000001285	1933.37	1535.97	1823.41	1428.59	1752.04	2344.15	2099.44	1604.17	1803.59	2522.68	2073.92	1819.6
ENSMUSG00000001288	4601	3750	4206	2753	3034	4009	1329	1104	1122	1052	1071	960
ENSMUSG00000001289	8639.6	6964.49	8296.23	6571.22	8044.57	9734.51	5536.11	3770.48	3991.93	6722.45	4144.33	3553.9
ENSMUSG00000001300	105	102	56	137	57	97	98	72	77	122	76	60
ENSMUSG00000001305	1169	1013	973	706	871	1253	1459	1138	1229	1394	1327	1168
ENSMUSG00000001313	17.32	17.51	6.1	17.39	14.22	18.4	15.74	14.08	14.3	17.55	21.83	5.3
ENSMUSG00000001323	708.68	641.86	510.04	361.14	439.33	551.31	716.72	565.61	499.33	364.44	518.86	422.47
ENSMUSG00000001333	99.26	83.31	53.17	49.05	60.12	63.14	83.15	98.28	89.23	44.05	81.16	66.1
ENSMUSG00000001334	20	20	20	15	12	25	6	13	15	11	22	16
ENSMUSG00000001348	13244.98	10660	13088.95	8914	9547.98	12658	9597	6921	6658.98	9290	6452.98	5192
ENSMUSG00000001349	50	47	47	30	65	44	17	10	15	4	16	24
ENSMUSG00000001366	1974	1515	1822	1121	1586	2195	1823	1991	1864	1028	1193	1071
ENSMUSG00000001376	957	810	800	581	617	841	838	922	756	699	744	609
ENSMUSG00000001380	2936.19	2345.74	2608.2	1983.66	2426.7	3092.08	4282.63	3732.02	4072.46	3838.21	4093.43	3212.08
ENSMUSG00000001383	3078	2409	2589	2011	2355	3039	2993	2443	2668	2762	2481	1874
ENSMUSG00000001403	195.61	224	167	138	277	328	4045.98	5130.13	5946.99	4633.96	4417	4536.99
ENSMUSG00000001415	7351	5786	5987	3807	4553	6465	7371	6292	6529	4659	6418	5619
ENSMUSG00000001416	9181	7261	7973	6385	7783	10651	11623	8896	9338	13312	11364	8439
ENSMUSG00000001418	5356.62	4424.19	4724.42	3769.76	4607.33	5486.54	4296.48	3295.97	3352.28	3634.97	3680.01	3003.5
ENSMUSG00000001419	17354.09	13561.94	14394.76	9427.76	11730.69	15291.3	12194.74	9196.94	10061.66	7786.39	10088.96	9029.54
